date_bldg_,time_bldg_,bldg_condi,date_bld_2,time_bld_2,date_bld_3,time_bld_3,bldg_id,bldg_name1,bldg_name2,bldg_sq_fo,bldg_statu,cdb_city_i,comments,date_condi,time_condi,create_use,date_demol,time_demol,date_edit_,time_edit_,edit_sourc,edit_useri,f_add1,footprint_,harris_str,label_hous,no_of_unit,no_stories,non_standa,orig_bldg_,pre_dir1,date_qc_da,time_qc_da,qc_source,qc_userid,shape_area,shape_len,st_name1,st_type1,stories,suf_dir1,t_add1,unit_name,vacancy_st,x_coord,y_coord,year_built,z_coord,xcoord,ycoord
2014-07-30,07:00:00.000,SOUND,2014-07-30,07:00:00.000,,,893534.0000000000000000000000000000000,GOODMAN CENTER FOR ROOSEVELT UNIVERSITY,,3900.0000000000000000000000000000000,ACTIVE,,,2014-07-30,07:00:00.000,DS01228,,,2014-07-30,07:00:00.000,,DS01228,501.0000000000000000000000000000000,,,"501",0.0000000000000000000000000000000,0.0000000000000000000000000000000,,893534.0000000000000000000000000000000,S,2014-07-30,07:00:00.000,,DS01228,14062.7042287999993277480825781822205,488.3186204840000073090777732431889,WABASH,AVE,2.0000000000000000000000000000000,,501.0000000000000000000000000000000,,,1176983.2591277300380170345306396484375,1897976.4228870999068021774291992187500,2012.0000000000000000000000000000000,0.0000000000000000000000000000000,448084.272818406,4636130.23882874
2002-12-20,08:00:00.000,,2002-12-20,08:00:00.000,,,814782.0000000000000000000000000000000,,,0.0000000000000000000000000000000,ACTIVE,,,,,,,,2007-02-14,08:00:00.000,FIELDWORK,DS01228,600.0000000000000000000000000000000,AERIALS98,,"600",0.0000000000000000000000000000000,0.0000000000000000000000000000000,,359022.0000000000000000000000000000000,W,,,,,14300.5000000000000000000000000000000,673.7764951320000363921280950307846,JACKSON,BLVD,8.0000000000000000000000000000000,,600.0000000000000000000000000000000,,,1172255.4038897999562323093414306640625,1899043.8005653300788253545761108398438,1912.0000000000000000000000000000000,0.0000000000000000000000000000000,446655.689696969,4636464.8706232
1998-04-01,08:00:00.000,,1998-04-01,08:00:00.000,,,360790.0000000000000000000000000000000,,,0.0000000000000000000000000000000,ACTIVE,,,,,,,,,,,,310.0000000000000000000000000000000,AERIALS98,,"310",0.0000000000000000000000000000000,0.0000000000000000000000000000000,,360790.0000000000000000000000000000000,S,,,,,35698.6250000000000000000000000000000,1064.9455677000000832777004688978195,DESPLAINES,ST,0.0000000000000000000000000000000,,310.0000000000000000000000000000000,,,1171814.2652969099581241607666015625000,1898769.9950097200926393270492553710938,0.0000000000000000000000000000000,0.0000000000000000000000000000000,446513.075327314,4636395.78316064
1998-04-01,08:00:00.000,,1998-04-01,08:00:00.000,,,362081.0000000000000000000000000000000,,,0.0000000000000000000000000000000,ACTIVE,,,,,,,,2002-12-20,08:00:00.000,FIELDWORK,HAG,400.0000000000000000000000000000000,AERIALS98,,"400",0.0000000000000000000000000000000,0.0000000000000000000000000000000,,362081.0000000000000000000000000000000,S,,,,,7368.6250000000000000000000000000000,398.2547014599999783968087285757065,DEARBORN,ST,0.0000000000000000000000000000000,,412.0000000000000000000000000000000,,,1175924.0075394799932837486267089843750,1898423.7172319800592958927154541015625,0.0000000000000000000000000000000,0.0000000000000000000000000000000,447763.844928754,4636271.47786223
1998-04-01,08:00:00.000,SOUND,1998-04-01,08:00:00.000,,,348062.0000000000000000000000000000000,500 N MICHIGAN,,0.0000000000000000000000000000000,ACTIVE,,,2005-02-27,08:00:00.000,,,,2007-09-27,07:00:00.000,FIELDWORK,DT00255,500.0000000000000000000000000000000,AERIALS98,"01710125011000","500",0.0000000000000000000000000000000,0.0000000000000000000000000000000,,348062.0000000000000000000000000000000,N,2005-01-20,08:00:00.000,ASSESS2002,DS01228,14606.6250000000000000000000000000000,495.3655760429999759253405500203371,MICHIGAN,AVE,25.0000000000000000000000000000000,,510.0000000000000000000000000000000,,,1177196.0280047599226236343383789062500,1903733.1184665400069206953048706054688,1972.0000000000000000000000000000000,0.0000000000000000000000000000000,448176.368769076,4637880.98698767
1998-04-01,08:00:00.000,,1998-04-01,08:00:00.000,,,371704.0000000000000000000000000000000,,,0.0000000000000000000000000000000,ACTIVE,,,,,,,,,,,,1221.0000000000000000000000000000000,AERIALS98,,"1221",0.0000000000000000000000000000000,0.0000000000000000000000000000000,,371704.0000000000000000000000000000000,S,2003-06-16,07:00:00.000,PARCELS,DS06284,1116.6250000000000000000000000000000,149.0883755399999870405736146494746,PLYMOUTH,CT,0.0000000000000000000000000000000,,1221.0000000000000000000000000000000,,,1176292.9550346499308943748474121093750,1894838.1801949399523437023162841796875,0.0000000000000000000000000000000,0.0000000000000000000000000000000,447859.130012425,4635176.96536876
1998-04-01,08:00:00.000,SOUND,1998-04-01,08:00:00.000,,,366993.0000000000000000000000000000000,,,0.0000000000000000000000000000000,ACTIVE,,,2002-11-01,08:00:00.000,,,,2012-03-19,07:00:00.000,FIELDWORK,DS01228,801.0000000000000000000000000000000,,"01716410022000","801",120.0000000000000000000000000000000,0.0000000000000000000000000000000,,366993.0000000000000000000000000000000,S,,,,,14244.7500000000000000000000000000000,483.2651862550000032570096664130688,WELLS,ST,10.0000000000000000000000000000000,,813.0000000000000000000000000000000,,,1174917.1111589500214904546737670898438,1896700.8684665500186383724212646484375,1908.0000000000000000000000000000000,0.0000000000000000000000000000000,447448.798282101,4635748.70414281
2002-12-20,08:00:00.000,SOUND,2002-12-20,08:00:00.000,,,814852.0000000000000000000000000000000,,,60200.0000000000000000000000000000000,ACTIVE,,,2002-11-01,08:00:00.000,,,,2002-12-20,08:00:00.000,FIELDWORK,HAG,412.0000000000000000000000000000000,AERIALS98,"01716238013000","412",0.0000000000000000000000000000000,0.0000000000000000000000000000000,,362178.0000000000000000000000000000000,S,,,,,6108.7500000000000000000000000000000,323.2244587270000124590296763926744,WELLS,ST,10.0000000000000000000000000000000,,412.0000000000000000000000000000000,,,1174703.8706144199240952730178833007812,1898365.4919233298860490322113037109375,1908.0000000000000000000000000000000,0.0000000000000000000000000000000,447391.673743523,4636258.36745951
1998-04-01,08:00:00.000,NEEDS MINOR REPAIR,1998-04-01,08:00:00.000,,,372658.0000000000000000000000000000000,,,18500.0000000000000000000000000000000,ACTIVE,,,2001-10-01,07:00:00.000,,,,,,,,1316.0000000000000000000000000000000,AERIALS98,"01722104020000","1316",0.0000000000000000000000000000000,0.0000000000000000000000000000000,,372658.0000000000000000000000000000000,S,,,,,12014.6250000000000000000000000000000,572.7704280890000063664047047495842,MICHIGAN,AVE,2.0000000000000000000000000000000,,1326.0000000000000000000000000000000,,,1177305.4933799400459975004196166992188,1894219.4163060800638049840927124023438,1898.0000000000000000000000000000000,0.0000000000000000000000000000000,448168.336572602,4634985.43097324
1998-04-01,08:00:00.000,,1998-04-01,08:00:00.000,,,371513.0000000000000000000000000000000,,,0.0000000000000000000000000000000,ACTIVE,,,,,,,,,,,,1213.0000000000000000000000000000000,AERIALS98,,"1213",0.0000000000000000000000000000000,0.0000000000000000000000000000000,,371513.0000000000000000000000000000000,S,2003-06-16,07:00:00.000,PARCELS,DS06284,1269.8750000000000000000000000000000,162.0162992330000122365163406357169,PLYMOUTH,CT,0.0000000000000000000000000000000,,1213.0000000000000000000000000000000,,,1176296.0080220499075949192047119140625,1894912.3993307501077651977539062500000,0.0000000000000000000000000000000,0.0000000000000000000000000000000,447860.399745246,4635199.56102042
