datetime,temp_f,dewpt_f,humidity_pct,wind_dir,wind_spd_mph,gust_mph,airpressure_in,precip,condition
1/9/2017 5:53:00,23,12,63,SSW,14,0,29.62,0,Cloudy
1/9/2017 6:53:00,22,13,68,SSW,10,0,29.62,0,Fair
1/9/2017 7:53:00,22,13,68,SSW,10,0,29.61,0,Cloudy
1/9/2017 8:53:00,22,14,72,SSW,8,0,29.63,0,Cloudy
1/9/2017 9:53:00,23,14,68,S,10,0,29.63,0,Cloudy
1/9/2017 10:53:00,26,15,63,SSW,14,0,29.62,0,Cloudy
1/9/2017 11:53:00,27,15,61,SW,9,0,29.62,0,Cloudy
1/9/2017 12:53:00,28,15,58,SSW,12,20,29.6,0,Cloudy
7/4/2017 0:53:00,69,58,68,NE,8,0,29.39,0,Partly Cloudy
7/4/2017 1:53:00,69,58,68,N,6,0,29.38,0,Partly Cloudy
7/4/2017 2:53:00,68,59,73,N,6,0,29.37,0,Mostly Cloudy
7/4/2017 3:53:00,68,61,78,NNE,5,0,29.38,0,Mostly Cloudy
7/4/2017 4:53:00,68,61,78,N,6,0,29.39,0,Mostly Cloudy
7/4/2017 5:53:00,68,62,81,N,3,0,29.4,0,Cloudy
7/4/2017 6:53:00,70,63,78,NNE,5,0,29.41,0,Mostly Cloudy
7/4/2017 7:53:00,74,65,73,NE,6,0,29.41,0,Mostly Cloudy
7/4/2017 8:53:00,76,67,74,ENE,8,0,29.41,0,Mostly Cloudy
7/4/2017 9:53:00,78,68,71,VAR,6,0,29.41,0,Mostly Cloudy
7/4/2017 10:53:00,79,68,69,ENE,8,0,29.41,0,Mostly Cloudy
7/4/2017 11:53:00,81,67,62,E,10,0,29.41,0,Mostly Cloudy
7/4/2017 12:53:00,82,67,60,NE,12,0,29.42,0,Mostly Cloudy
7/4/2017 13:53:00,83,67,58,E,10,0,29.41,0,Mostly Cloudy
7/4/2017 14:53:00,82,67,60,ENE,12,0,29.41,0,Cloudy
7/4/2017 15:53:00,81,67,62,ENE,12,0,29.4,0,Mostly Cloudy
7/4/2017 16:53:00,81,67,62,NE,14,0,29.38,0,Cloudy
7/4/2017 17:53:00,81,66,60,ENE,13,0,29.38,0,Cloudy
7/4/2017 18:53:00,80,65,60,ENE,9,0,29.38,0,Mostly Cloudy
7/4/2017 19:53:00,78,64,62,NNE,8,0,29.4,0,Mostly Cloudy
7/4/2017 20:53:00,77,63,62,ENE,9,0,29.41,0,Mostly Cloudy
