linkID,countyID,zoneID,roadTypeID,linkLength,linkVolume,linkAvgSpeed,linkDescription,linkAvgGrade
2,17031,0,5,0.03745459935298865,77,1.1185,Urban Unrestricted,0
3,17031,0,5,0.04227346876918908,77,1.1185,Urban Unrestricted,0
4,17031,0,5,0.014927408705021947,77,1.1185,Urban Unrestricted,0
5,17031,0,5,0.0103613299010997,77,1.1185,Urban Unrestricted,0
7,17031,0,5,0.008572614653139177,77,1.1185,Urban Unrestricted,0
8,17031,0,5,0.037555781031204626,74,1.1185,Urban Unrestricted,0
10,17031,0,5,0.032952521892137626,59,0.5022033898305085,Urban Unrestricted,0
11,17031,0,5,0.027489363503927063,6,0.5,Urban Unrestricted,0
13,17031,0,5,0.021669986011409112,10,0.5,Urban Unrestricted,0
14,17031,0,5,0.023843489106077902,13,0.5,Urban Unrestricted,0
16,17031,0,5,0.03196669753289002,11,0.5,Urban Unrestricted,0
18,17031,0,5,0.004610404160212313,11,0.5,Urban Unrestricted,0
20,17031,0,5,0.038157612609979345,10,0.5,Urban Unrestricted,0
21,17031,0,5,0.02245116314390582,9,0.5,Urban Unrestricted,0
22,17031,0,5,0.030114582753659625,12,1.1185,Urban Unrestricted,0
23,17031,0,5,0.027867864592692443,8,13.871365,Urban Unrestricted,0
24,17031,0,5,0.010455874586758281,6,18.4355,Urban Unrestricted,0
25,17031,0,5,0.037946906305583936,6,17.413936666666668,Urban Unrestricted,0
26,17031,0,5,0.03766700542099474,6,15.967343333333337,Urban Unrestricted,0
28,17031,0,5,0.005593668298301635,6,15.087456666666668,Urban Unrestricted,0
29,17031,0,5,0.011532848883234281,12,2.4899725000000004,Urban Unrestricted,0
32,17031,0,5,0.007972934292764024,59,24.49590830508475,Urban Unrestricted,0
34,17031,0,5,0.0013393376232461163,62,2.1798387096774188,Urban Unrestricted,0
35,17031,0,5,0.010640560543105316,62,16.69983870967742,Urban Unrestricted,0
36,17031,0,5,0.03373897819181847,62,24.962419354838712,Urban Unrestricted,0
37,17031,0,5,0.04110238236833919,62,28.892741935483873,Urban Unrestricted,0
38,17031,0,5,0.04549179169918601,89,9.387640449438202,Urban Unrestricted,0
41,17031,0,5,0.008232464533251029,8,12.85073375,Urban Unrestricted,0
43,17031,0,5,0.03653043279711975,0,0.0,Urban Unrestricted,0
44,17031,0,5,0.04345939694922808,0,0.0,Urban Unrestricted,0
45,17031,0,5,0.04002615236677265,6,6.613333333333333,Urban Unrestricted,0
47,17031,0,5,0.014177481043578213,6,3.6650000000000005,Urban Unrestricted,0
49,17031,0,5,0.0071012992672389984,4,16.185,Urban Unrestricted,0
53,17031,0,5,0.024046695737475185,10,27.419695,Urban Unrestricted,0
55,17031,0,5,0.02439151569883117,10,16.552349,Urban Unrestricted,0
57,17031,0,5,0.07093430172173616,11,1.1185,Urban Unrestricted,0
58,17031,0,5,0.07661672196045316,15,1.1185000000000003,Urban Unrestricted,0
59,17031,0,5,0.07611168897109068,10,1.1185,Urban Unrestricted,0
61,17031,0,5,0.07508849762544668,19,1.1185,Urban Unrestricted,0
63,17031,0,5,0.07081727951507145,14,1.1185000000000003,Urban Unrestricted,0
64,17031,0,5,0.03508604222111513,12,1.1185,Urban Unrestricted,0
65,17031,0,5,0.041931319170058705,12,1.1185,Urban Unrestricted,0
66,17031,0,5,0.0764697621960837,18,1.1185,Urban Unrestricted,0
