linkID,countyID,zoneID,roadTypeID,linkLength,linkVolume,linkAvgSpeed,linkDescription,linkAvgGrade
2,17031,0,5,0.03745459935298865,63,5.4007571428571435,Urban Unrestricted,0
3,17031,0,5,0.04227346876918908,54,11.034623888888891,Urban Unrestricted,0
4,17031,0,5,0.014927408705021947,48,12.159493125000003,Urban Unrestricted,0
5,17031,0,5,0.0103613299010997,44,12.994936363636366,Urban Unrestricted,0
7,17031,0,5,0.008572614653139177,42,13.380455714285715,Urban Unrestricted,0
8,17031,0,5,0.037555781031204626,37,17.36697972972973,Urban Unrestricted,0
10,17031,0,5,0.032952521892137626,25,2.1191999999999998,Urban Unrestricted,0
11,17031,0,5,0.027489363503927063,4,0.5,Urban Unrestricted,0
13,17031,0,5,0.021669986011409112,4,0.5,Urban Unrestricted,0
14,17031,0,5,0.023843489106077902,4,0.5,Urban Unrestricted,0
16,17031,0,5,0.03196669753289002,4,0.5,Urban Unrestricted,0
18,17031,0,5,0.004610404160212313,4,0.5,Urban Unrestricted,0
20,17031,0,5,0.038157612609979345,4,0.5,Urban Unrestricted,0
21,17031,0,5,0.02245116314390582,4,0.5,Urban Unrestricted,0
22,17031,0,5,0.030114582753659625,8,1.1185,Urban Unrestricted,0
23,17031,0,5,0.027867864592692443,9,23.34272555555556,Urban Unrestricted,0
24,17031,0,5,0.010455874586758281,6,18.4355,Urban Unrestricted,0
25,17031,0,5,0.037946906305583936,9,25.241690000000006,Urban Unrestricted,0
26,17031,0,5,0.03766700542099474,9,26.48198222222222,Urban Unrestricted,0
28,17031,0,5,0.005593668298301635,9,26.852330000000002,Urban Unrestricted,0
29,17031,0,5,0.011532848883234281,9,1.0945177777777777,Urban Unrestricted,0
32,17031,0,5,0.007972934292764024,20,24.358693000000006,Urban Unrestricted,0
34,17031,0,5,0.0013393376232461163,33,1.9721212121212122,Urban Unrestricted,0
35,17031,0,5,0.010640560543105316,33,16.606969696969696,Urban Unrestricted,0
36,17031,0,5,0.03373897819181847,33,26.127878787878785,Urban Unrestricted,0
37,17031,0,5,0.04110238236833919,33,28.905151515151516,Urban Unrestricted,0
38,17031,0,5,0.04549179169918601,48,16.080416666666668,Urban Unrestricted,0
41,17031,0,5,0.008232464533251029,18,3.7377383333333336,Urban Unrestricted,0
43,17031,0,5,0.03653043279711975,0,0.0,Urban Unrestricted,0
44,17031,0,5,0.04345939694922808,0,0.0,Urban Unrestricted,0
45,17031,0,5,0.04002615236677265,2,18.67,Urban Unrestricted,0
47,17031,0,5,0.014177481043578213,2,11.69,Urban Unrestricted,0
49,17031,0,5,0.0071012992672389984,6,15.290000000000001,Urban Unrestricted,0
53,17031,0,5,0.024046695737475185,13,1.1185,Urban Unrestricted,0
55,17031,0,5,0.02439151569883117,11,1.1185,Urban Unrestricted,0
57,17031,0,5,0.07093430172173616,21,1.1185,Urban Unrestricted,0
58,17031,0,5,0.07661672196045316,24,1.1185,Urban Unrestricted,0
59,17031,0,5,0.07611168897109068,20,1.1185,Urban Unrestricted,0
61,17031,0,5,0.07508849762544668,23,1.1185000000000003,Urban Unrestricted,0
63,17031,0,5,0.07081727951507145,22,1.1185,Urban Unrestricted,0
64,17031,0,5,0.03508604222111513,16,1.1185,Urban Unrestricted,0
65,17031,0,5,0.041931319170058705,16,1.1185,Urban Unrestricted,0
66,17031,0,5,0.0764697621960837,23,1.1185000000000003,Urban Unrestricted,0
67,17031,0,5,0.07660456789674022,39,1.1184999999999998,Urban Unrestricted,0
69,17031,0,5,0.006765160123448227,100,1.1185,Urban Unrestricted,0
70,17031,0,5,0.012709603062656586,123,1.1185,Urban Unrestricted,0
75,17031,0,5,0.006107412481838817,31,28.444350645161293,Urban Unrestricted,0
77,17031,0,5,0.02278104994347722,21,14.445784761904763,Urban Unrestricted,0
78,17031,0,5,0.02692499239387544,18,39.74102388888889,Urban Unrestricted,0
81,17031,0,5,0.007297996300657969,14,3.423171428571429,Urban Unrestricted,0
82,17031,0,5,0.08930984889649685,4,0.5,Urban Unrestricted,0
83,17031,0,5,0.059290188084042704,4,0.5,Urban Unrestricted,0
85,17031,0,5,0.015025793847243401,4,0.5,Urban Unrestricted,0
87,17031,0,5,0.07314831748153233,4,0.5,Urban Unrestricted,0
93,17031,0,5,0.005437217716795774,5,0.5,Urban Unrestricted,0
94,17031,0,5,0.03951718015996406,6,1.2393183333333333,Urban Unrestricted,0
95,17031,0,5,0.04593067641478199,11,4.596018181818182,Urban Unrestricted,0
98,17031,0,5,0.08270574083099712,65,9.174797384615385,Urban Unrestricted,0
100,17031,0,5,0.009468821594483779,61,13.46688524590164,Urban Unrestricted,0
102,17031,0,5,0.07876589258145361,4,0.5,Urban Unrestricted,0
107,17031,0,5,0.07492575106758453,7,0.5,Urban Unrestricted,0
108,17031,0,5,0.04196876201146634,12,10.672455,Urban Unrestricted,0
110,17031,0,5,0.1273582532663252,12,0.5,Urban Unrestricted,0
115,17031,0,5,0.0558461591706796,59,0.5,Urban Unrestricted,0
116,17031,0,5,0.04446970125279634,4,0.5,Urban Unrestricted,0
117,17031,0,5,0.044030673411687905,8,1.1185,Urban Unrestricted,0
118,17031,0,5,0.04434369478379048,4,0.5,Urban Unrestricted,0
119,17031,0,5,0.008501324582638095,4,0.5,Urban Unrestricted,0
120,17031,0,5,0.034876901565735176,4,0.5,Urban Unrestricted,0
122,17031,0,5,0.055530630967972644,6,0.5,Urban Unrestricted,0
125,17031,0,5,0.004636375055985149,82,12.778048780487808,Urban Unrestricted,0
127,17031,0,5,0.025642282000653802,82,5.117682926829268,Urban Unrestricted,0
129,17031,0,5,0.02376035795803127,21,5.997290476190477,Urban Unrestricted,0
131,17031,0,5,0.03798791444765567,21,5.218601428571429,Urban Unrestricted,0
133,17031,0,5,0.06048018810371406,4,0.5,Urban Unrestricted,0
134,17031,0,5,0.04373921924650436,4,0.5,Urban Unrestricted,0
136,17031,0,5,0.015503899729496127,4,0.5,Urban Unrestricted,0
139,17031,0,5,0.009033885540181419,6,0.5,Urban Unrestricted,0
141,17031,0,5,0.011178479669074226,61,28.012295081967213,Urban Unrestricted,0
142,17031,0,5,0.0553637276827091,99,18.721212121212123,Urban Unrestricted,0
143,17031,0,5,0.0268211647736353,94,2.2054255319148934,Urban Unrestricted,0
144,17031,0,5,0.028647528711855424,103,19.69645922330097,Urban Unrestricted,0
145,17031,0,5,0.027584154860749385,30,9.693,Urban Unrestricted,0
146,17031,0,5,0.028719123639818718,31,10.577419354838709,Urban Unrestricted,0
147,17031,0,5,0.04135035814944799,6,2.25,Urban Unrestricted,0
150,17031,0,5,0.060031009192327685,1,1.47,Urban Unrestricted,0
152,17031,0,5,0.07501218641418651,4,0.5,Urban Unrestricted,0
153,17031,0,5,0.04206989917876089,4,0.5,Urban Unrestricted,0
154,17031,0,5,0.045383921986207866,5,0.5,Urban Unrestricted,0
155,17031,0,5,0.01216227131316559,9,0.5,Urban Unrestricted,0
157,17031,0,5,0.05329792244874264,208,1.1185,Urban Unrestricted,0
158,17031,0,5,0.047359844780463414,299,14.320595050167222,Urban Unrestricted,0
159,17031,0,5,0.02853955235262656,293,21.885235972696247,Urban Unrestricted,0
160,17031,0,5,0.07573985112260577,344,9.41881046511628,Urban Unrestricted,0
161,17031,0,5,0.07683676120462059,153,3.478496732026144,Urban Unrestricted,0
164,17031,0,5,0.0388337253969156,0,0.0,Urban Unrestricted,0
167,17031,0,5,0.007404717715655548,0,0.0,Urban Unrestricted,0
168,17031,0,5,0.0170932012802922,0,0.0,Urban Unrestricted,0
189,17031,0,5,0.06625106798739597,10,14.85,Urban Unrestricted,0
