linkID,countyID,zoneID,roadTypeID,linkLength,linkVolume,linkAvgSpeed,linkDescription,linkAvgGrade
2,17031,0,5,0.03745459935298865,43,8.466264651162792,Urban Unrestricted,0
3,17031,0,5,0.04227346876918908,33,12.91359090909091,Urban Unrestricted,0
4,17031,0,5,0.014927408705021947,27,19.85213222222222,Urban Unrestricted,0
5,17031,0,5,0.0103613299010997,24,21.608487916666665,Urban Unrestricted,0
7,17031,0,5,0.008572614653139177,22,21.65517681818182,Urban Unrestricted,0
8,17031,0,5,0.037555781031204626,22,32.61444318181818,Urban Unrestricted,0
10,17031,0,5,0.032952521892137626,20,5.437028499999999,Urban Unrestricted,0
11,17031,0,5,0.027489363503927063,4,0.5,Urban Unrestricted,0
13,17031,0,5,0.021669986011409112,4,0.5,Urban Unrestricted,0
14,17031,0,5,0.023843489106077902,4,0.5,Urban Unrestricted,0
16,17031,0,5,0.03196669753289002,4,0.5,Urban Unrestricted,0
18,17031,0,5,0.004610404160212313,4,0.5,Urban Unrestricted,0
20,17031,0,5,0.038157612609979345,4,0.5,Urban Unrestricted,0
21,17031,0,5,0.02245116314390582,4,0.5,Urban Unrestricted,0
22,17031,0,5,0.030114582753659625,8,1.1185,Urban Unrestricted,0
23,17031,0,5,0.027867864592692443,6,18.12232,Urban Unrestricted,0
24,17031,0,5,0.010455874586758281,6,18.4355,Urban Unrestricted,0
25,17031,0,5,0.037946906305583936,6,17.413936666666668,Urban Unrestricted,0
26,17031,0,5,0.03766700542099474,6,17.272260000000003,Urban Unrestricted,0
28,17031,0,5,0.005593668298301635,6,16.280523333333335,Urban Unrestricted,0
29,17031,0,5,0.011532848883234281,6,0.9123333333333333,Urban Unrestricted,0
32,17031,0,5,0.007972934292764024,20,24.734509000000003,Urban Unrestricted,0
34,17031,0,5,0.0013393376232461163,36,2.045,Urban Unrestricted,0
35,17031,0,5,0.010640560543105316,36,16.783333333333335,Urban Unrestricted,0
36,17031,0,5,0.03373897819181847,36,26.08,Urban Unrestricted,0
37,17031,0,5,0.04110238236833919,36,29.578888888888894,Urban Unrestricted,0
38,17031,0,5,0.04549179169918601,51,10.54607843137255,Urban Unrestricted,0
41,17031,0,5,0.008232464533251029,18,6.057937222222222,Urban Unrestricted,0
43,17031,0,5,0.03653043279711975,0,0.0,Urban Unrestricted,0
44,17031,0,5,0.04345939694922808,0,0.0,Urban Unrestricted,0
45,17031,0,5,0.04002615236677265,1,21.47,Urban Unrestricted,0
47,17031,0,5,0.014177481043578213,1,4.19,Urban Unrestricted,0
49,17031,0,5,0.0071012992672389984,13,17.83923076923077,Urban Unrestricted,0
53,17031,0,5,0.024046695737475185,19,29.72549789473684,Urban Unrestricted,0
55,17031,0,5,0.02439151569883117,23,1.1185,Urban Unrestricted,0
57,17031,0,5,0.07093430172173616,28,1.1185,Urban Unrestricted,0
58,17031,0,5,0.07661672196045316,25,1.1185,Urban Unrestricted,0
59,17031,0,5,0.07611168897109068,15,1.1185,Urban Unrestricted,0
61,17031,0,5,0.07508849762544668,22,1.1185,Urban Unrestricted,0
63,17031,0,5,0.07081727951507145,15,1.1185,Urban Unrestricted,0
64,17031,0,5,0.03508604222111513,15,1.1185,Urban Unrestricted,0
65,17031,0,5,0.041931319170058705,15,1.1185,Urban Unrestricted,0
66,17031,0,5,0.0764697621960837,17,1.1185,Urban Unrestricted,0
67,17031,0,5,0.07660456789674022,20,1.1185,Urban Unrestricted,0
69,17031,0,5,0.006765160123448227,112,1.1185,Urban Unrestricted,0
70,17031,0,5,0.012709603062656586,160,1.1185,Urban Unrestricted,0
75,17031,0,5,0.006107412481838817,29,29.76598482758621,Urban Unrestricted,0
77,17031,0,5,0.02278104994347722,17,11.31683882352941,Urban Unrestricted,0
78,17031,0,5,0.02692499239387544,12,38.3886,Urban Unrestricted,0
81,17031,0,5,0.007297996300657969,10,3.1429850000000004,Urban Unrestricted,0
82,17031,0,5,0.08930984889649685,4,0.5,Urban Unrestricted,0
83,17031,0,5,0.059290188084042704,4,0.5,Urban Unrestricted,0
85,17031,0,5,0.015025793847243401,4,0.5,Urban Unrestricted,0
87,17031,0,5,0.07314831748153233,4,0.5,Urban Unrestricted,0
93,17031,0,5,0.005437217716795774,4,0.5,Urban Unrestricted,0
94,17031,0,5,0.03951718015996406,7,9.326217142857143,Urban Unrestricted,0
95,17031,0,5,0.04593067641478199,8,1.0411875,Urban Unrestricted,0
98,17031,0,5,0.08270574083099712,68,9.035506176470589,Urban Unrestricted,0
100,17031,0,5,0.009468821594483779,64,11.758125,Urban Unrestricted,0
102,17031,0,5,0.07876589258145361,13,0.5,Urban Unrestricted,0
107,17031,0,5,0.07492575106758453,7,0.5,Urban Unrestricted,0
108,17031,0,5,0.04196876201146634,9,5.634888888888889,Urban Unrestricted,0
110,17031,0,5,0.1273582532663252,8,0.5,Urban Unrestricted,0
