VEHICLE,TIME,LINK,DIR,LANE,OFFSET,SPEED,ACCEL,VEH_TYPE,DRIVER,PASSENGERS,X_COORD,Y_COORD
245126,0:00:30,526,0,1,75.0,15.0,0.0,1,24512601,0,447472.06796977506,4637342.933263424
245126,0:01,1192,1,2,7.5,0.0,0.0,1,24512601,0,447908.2381214011,4637416.9728798475
245126,0:01:30,1191,0,2,97.5,0.0,0.0,1,24512601,0,447527.47982023365,4635134.647146149
245126,0:02,813,0,2,135.0,0.0,0.0,1,24512601,0,447629.07418194064,4638385.391944832
245126,0:02:30,804,1,1,30.0,7.5,-22.5,1,24512601,0,447505.3810600954,4638411.156665067
245126,0:03,804,1,1,30.0,0.0,0.0,1,24512601,0,447505.3810600954,4638411.156665067
166155,2:40,57,0,3,112.5,0.0,-30.0,1,16615501,0,447573.35985744564,4636863.686837007
166155,2:40:30,57,0,3,112.5,0.0,0.0,1,16615501,0,447573.35985744564,4636863.686837007
166155,2:41,57,0,3,112.5,0.0,0.0,1,16615501,0,447573.35985744564,4636863.686837007
166155,2:41:30,1452,1,3,60.0,0.0,0.0,1,16615501,0,447774.41181073815,4637668.85611445
166155,2:42,129,1,2,60.0,0.0,0.0,1,16615501,0,447774.1716664652,4635537.624831374
166155,2:42:30,131,1,3,67.5,0.0,-30.0,1,16615501,0,447792.7681160717,4635741.940649692
166155,2:43,139,1,3,52.5,30.0,0.0,1,16615501,0,447748.0920185569,4636254.197785177
166155,2:43:30,835,1,2,60.0,0.0,0.0,1,16615501,0,447429.5388412496,4637591.639745397
166155,2:44,835,1,2,60.0,0.0,0.0,1,16615501,0,447429.5388412496,4637591.639745397
166155,2:44:30,1696,0,3,37.5,0.0,0.0,1,16615501,0,446958.50643120124,4635790.878478979
166155,2:45,1696,0,3,37.5,0.0,0.0,1,16615501,0,446958.50643120124,4635790.878478979
127167,2:47:30,214,1,3,120.0,0.0,0.0,1,12716701,0,446824.61787045357,4636856.466546277
202723,2:47:30,139,1,3,67.5,7.5,-7.5,1,20272301,0,447741.47724956996,4635919.801702992
241483,2:47:30,527,0,1,120.0,7.5,7.5,1,24148301,0,447315.85074170405,4637343.80946639
202723,2:48,2161,0,2,7.5,0.0,-7.5,1,20272301,0,447896.72768263717,4637286.613395378
241483,2:48,1336,0,4,187.5,37.5,0.0,1,24148301,0,447574.6621065989,4637414.534884727
202723,2:48:30,813,0,2,135.0,0.0,0.0,1,20272301,0,447629.07418194064,4638385.391944832
241483,2:48:30,1369,0,2,60.0,22.5,7.5,1,24148301,0,447554.73213545815,4635998.967270409
202723,2:49,810,0,2,37.5,22.5,7.5,1,20272301,0,447532.0440743216,4637070.825471648
202723,2:49:30,804,1,1,30.0,0.0,0.0,1,20272301,0,447505.3810600954,4638411.156665067
202723,2:50,804,1,1,34.7,7.5,7.5,1,20272301,0,447503.8682584361,4638499.847752964
9309,2:52,906,1,1,120.0,7.5,7.5,1,930901,0,446854.3264154151,4635764.5083119
61489,2:52,1671,1,1,52.5,15.0,0.0,1,6148901,0,447139.7448144085,4638698.327912124
9309,2:52:30,2141,1,3,82.5,0.0,0.0,1,930901,0,446550.1084056756,4637376.323577305
61489,2:52:30,1107,1,2,67.5,30.0,7.5,1,6148901,0,447202.60965165746,4637667.706150767
9309,2:53,2003,1,2,75.0,0.0,0.0,1,930901,0,446541.7194960828,4638204.712723312
61489,2:53,1109,1,3,135.0,0.0,0.0,1,6148901,0,447114.73334530153,4639810.061148083
9309,2:53:30,1806,1,1,60.0,15.0,0.0,1,930901,0,447018.94871741574,4637677.044544534
61489,2:53:30,1109,1,3,135.0,0.0,0.0,1,6148901,0,447114.73334530153,4639810.061148083
61489,2:54,1110,0,3,135.0,0.0,0.0,1,6148901,0,447178.05320054624,4634255.062079449
61489,2:54:30,1084,0,2,37.5,30.0,0.0,1,6148901,0,447159.48193819023,4635998.686128314
61489,2:55,157,1,3,210.0,0.0,0.0,1,6148901,0,446479.6949840258,4636710.15327535
61489,2:55:30,1619,1,3,37.5,0.0,0.0,1,6148901,0,446513.7637094076,4636570.5512960525
61489,2:56,1619,1,3,37.5,0.0,0.0,1,6148901,0,446513.7637094076,4636570.5512960525
57092,2:56,154,0,1,67.5,0.0,0.0,1,5709201,0,448238.0499173903,4636734.795431158
82494,2:56,1650,0,1,105.0,0.0,0.0,1,8249401,0,448131.8953438644,4639069.579423957
61489,2:56:30,1620,0,2,67.5,0.0,0.0,1,6148901,0,446435.74954245926,4636569.669203006
57092,2:56:30,942,1,1,202.5,0.0,0.0,1,5709201,0,448358.1168037718,4636734.260286789
82494,2:56:30,1650,0,1,105.0,0.0,0.0,1,8249401,0,448131.8953438644,4639069.579423957
57092,2:57,942,1,1,202.5,0.0,0.0,1,5709201,0,448358.1168037718,4636734.260286789
82494,2:57,1010,0,2,30.0,0.0,0.0,1,8249401,0,447558.17588692,4636165.830636695
57092,2:57:30,944,1,1,105.0,22.5,0.0,1,5709201,0,448709.94204940926,4636738.959311013
82494,2:57:30,1008,1,3,37.5,0.0,0.0,1,8249401,0,447638.6759447808,4636166.177993408
82494,2:58,1007,0,3,112.5,0.0,0.0,1,8249401,0,447581.3501484889,4636165.84018676
82494,2:58:30,1004,1,3,82.5,0.0,0.0,1,8249401,0,447849.2871594922,4636167.214398517
82494,2:59,2083,0,3,135.0,0.0,0.0,1,8249401,0,447953.14908853837,4636166.246533714
47750,2:59,469,0,1,60.0,0.0,0.0,1,4775001,0,447431.7090621743,4635233.276139838
144713,2:59,274,0,2,37.5,22.5,7.5,1,14471301,0,447919.4744213281,4635806.902780465
82494,2:59:30,285,1,1,67.5,0.0,0.0,1,8249401,0,448310.70904990024,4636150.995969223
47750,2:59:30,25,0,1,60.0,22.5,7.5,1,4775001,0,447250.37959422945,4636294.447184307
144713,2:59:30,783,1,1,45.0,0.0,0.0,1,14471301,0,447253.76272910595,4637004.369154827
82494,3:00,285,1,1,75.0,7.5,7.5,1,8249401,0,448305.13628482673,4636150.926664972
47750,3:00,29,0,1,15.0,7.5,7.5,1,4775001,0,447145.36749369337,4636293.668652352
144713,3:00,783,1,1,45.0,0.0,0.0,1,14471301,0,447253.76272910595,4637004.369154827
82494,3:00:30,284,0,2,172.5,0.0,0.0,1,8249401,0,448152.85056015005,4636162.149216094
47750,3:00:30,1210,0,1,225.0,0.0,0.0,1,4775001,0,448177.8775435565,4638473.291947393
144713,3:00:30,153,0,1,60.0,0.0,0.0,1,14471301,0,448159.3813911885,4636733.3299207855
82494,3:01,1052,0,2,52.5,0.0,0.0,1,8249401,0,448490.9072964522,4636147.684603791
47750,3:01,929,0,1,75.0,22.5,7.5,1,4775001,0,446753.2226304134,4636290.901425516
144713,3:01,154,0,1,67.5,0.0,0.0,1,14471301,0,448238.0499173903,4636734.795431158
82494,3:01:30,1898,1,2,472.5,0.0,0.0,1,8249401,0,448605.3430863108,4627032.965978608
144713,3:01:30,942,1,1,202.5,0.0,0.0,1,14471301,0,448358.1168037718,4636734.260286789
49872,3:01:30,1377,0,3,60.0,30.0,7.5,1,4987201,0,447122.92968431755,4636861.379021398
134908,3:01:30,2287,0,3,30.0,15.0,0.0,1,13490801,0,448223.9875744407,4637124.723898709
226191,3:01:30,707,1,1,210.0,7.5,-7.5,1,22619101,0,448203.19911671104,4632719.906382333
82494,3:02,944,1,1,150.0,15.0,-7.5,1,8249401,0,448676.5091669995,4636738.66689992
144713,3:02,942,1,1,202.5,0.0,0.0,1,14471301,0,448358.1168037718,4636734.260286789
49872,3:02,765,1,2,52.5,0.0,0.0,1,4987201,0,447462.67432729015,4636438.047509174
134908,3:02,785,0,2,30.0,30.0,0.0,1,13490801,0,447431.30489587504,4637003.738830152
226191,3:02,1923,1,1,15.0,15.0,7.5,1,22619101,0,448498.7670011624,4637391.912895852
144713,3:02:30,944,1,1,82.5,22.5,0.0,1,14471301,0,448726.6584886307,4636739.105575412
49872,3:02:30,764,1,3,52.5,0.0,0.0,1,4987201,0,447376.9771552868,4636437.621133874
134908,3:02:30,1092,0,3,112.5,0.0,0.0,1,13490801,0,447204.8951510445,4636861.012970157
226191,3:02:30,1973,1,1,7.5,0.0,0.0,1,22619101,0,448372.30144197016,4637398.840509159
49872,3:03,763,0,3,112.5,0.0,0.0,1,4987201,0,447376.59341655637,4636437.616670704
134908,3:03,1094,1,3,112.5,0.0,0.0,1,13490801,0,447216.6510798605,4635110.657510902
226191,3:03,2057,1,2,7.5,0.0,0.0,1,22619101,0,448515.5389931968,4637234.212440511
49872,3:03:30,761,1,2,15.0,0.0,0.0,1,4987201,0,447172.12414000084,4636436.165899099
134908,3:03:30,1378,0,2,15.0,0.0,0.0,1,13490801,0,447135.106573717,4636860.9205992585
226191,3:03:30,536,1,2,22.5,15.0,7.5,1,22619101,0,447977.14434905,4637402.210852918
49872,3:04,507,1,3,135.0,0.0,0.0,1,4987201,0,447215.6964847471,4634107.308623471
134908,3:04,214,1,3,120.0,0.0,0.0,1,13490801,0,446824.61787045357,4636856.466546277
226191,3:04,536,1,2,37.5,0.0,0.0,1,22619101,0,447966.00131807965,4637402.14906228
40287,3:04,13,1,1,30.0,0.0,0.0,1,4028701,0,447730.83770419384,4636297.907123805
51369,3:04,769,0,2,112.5,0.0,0.0,1,5136901,0,447746.1927888706,4636440.441499501
187116,3:04,722,1,1,60.0,0.0,0.0,1,18711601,0,447392.9676971021,4638202.088996851
211598,3:04,207,1,1,127.5,0.0,-7.5,1,21159801,0,447247.3337459581,4637142.0415749075
282905,3:04,435,0,1,97.5,0.0,0.0,1,28290501,0,447102.7271803105,4637752.181019725
49872,3:04:30,29,0,1,7.5,0.0,0.0,1,4987201,0,447150.94156418706,4636293.925516999
