Vehicle Type,Vehicle Age,Count
Motorcycle/Motorbike,2,4
Motorcycle/Motorbike,3,5
Motorcycle/Motorbike,4,3
Motorcycle/Motorbike,5,3
Motorcycle/Motorbike,7,3
Motorcycle/Motorbike,9,2
Motorcycle/Motorbike,10,4
Motorcycle/Motorbike,11,6
Motorcycle/Motorbike,12,4
Motorcycle/Motorbike,13,3
Motorcycle/Motorbike,14,9
Motorcycle/Motorbike,15,3
Motorcycle/Motorbike,16,1
Motorcycle/Motorbike,17,4
Motorcycle/Motorbike,18,3
Motorcycle/Motorbike,20,1
Motorcycle/Motorbike,25,1
Motorcycle/Motorbike,30,2
Motorcycle/Motorbike,31,2
Motorcycle/Motorbike,40,7
Automobile/Car/Station Wagon,1,44
Automobile/Car/Station Wagon,2,63
Automobile/Car/Station Wagon,3,56
Automobile/Car/Station Wagon,4,59
Automobile/Car/Station Wagon,5,58
Automobile/Car/Station Wagon,6,44
Automobile/Car/Station Wagon,7,53
Automobile/Car/Station Wagon,8,52
Automobile/Car/Station Wagon,9,46
Automobile/Car/Station Wagon,10,54
Automobile/Car/Station Wagon,11,52
Automobile/Car/Station Wagon,12,36
Automobile/Car/Station Wagon,13,24
Automobile/Car/Station Wagon,14,29
Automobile/Car/Station Wagon,15,39
Automobile/Car/Station Wagon,16,21
Automobile/Car/Station Wagon,17,27
Automobile/Car/Station Wagon,18,13
Automobile/Car/Station Wagon,19,7
Automobile/Car/Station Wagon,20,10
Automobile/Car/Station Wagon,21,11
Automobile/Car/Station Wagon,22,8
Automobile/Car/Station Wagon,24,3
Automobile/Car/Station Wagon,25,3
Automobile/Car/Station Wagon,26,3
Automobile/Car/Station Wagon,27,2
Automobile/Car/Station Wagon,28,3
Automobile/Car/Station Wagon,29,4
Automobile/Car/Station Wagon,30,3
Automobile/Car/Station Wagon,40,13
Passenger Truck/SUV,1,53
Passenger Truck/SUV,2,78
Passenger Truck/SUV,3,64
Passenger Truck/SUV,4,42
Passenger Truck/SUV,5,38
Passenger Truck/SUV,6,39
Passenger Truck/SUV,7,36
Passenger Truck/SUV,8,28
Passenger Truck/SUV,9,30
Passenger Truck/SUV,10,34
Passenger Truck/SUV,11,43
Passenger Truck/SUV,12,36
Passenger Truck/SUV,13,45
Passenger Truck/SUV,14,33
Passenger Truck/SUV,15,24
Passenger Truck/SUV,16,19
Passenger Truck/SUV,17,9
Passenger Truck/SUV,18,9
Passenger Truck/SUV,19,9
Passenger Truck/SUV,20,7
Passenger Truck/SUV,21,4
Passenger Truck/SUV,22,3
Passenger Truck/SUV,23,1
Passenger Truck/SUV,24,3
Passenger Truck/SUV,25,1
Passenger Truck/SUV,26,2
Passenger Truck/SUV,27,2
Passenger Truck/SUV,28,1
Passenger Truck/SUV,29,3
Passenger Truck/SUV,40,4
Recreational Vehicle,1,1
Recreational Vehicle,5,1
Recreational Vehicle,7,1
Recreational Vehicle,12,1
Recreational Vehicle,14,1
